model,exo_var,horizon,rmse,mae,mape,category
best_model_fn,SMH,1,1.6878772814456984,1.3202936010960304,3.45384789614368,sectoral
best_model_fn,SMH,3,1.691557720343411,1.3437786296631582,3.5225648160074416,sectoral
best_model_fn,SMH,7,1.816468713692707,1.3830664643102255,3.5622884573350144,sectoral
best_model_fn,^IXIC,1,1.789153765075667,1.3802440838475676,3.562655352421857,sectoral
best_model_fn,^IXIC,3,1.8065021931637395,1.417740453382809,3.6641423696513935,sectoral
best_model_fn,^IXIC,7,1.9025857431298343,1.4523999343294007,3.7054678905755223,sectoral
best_model_fn,XLK,1,1.744282304771681,1.4104453875025,3.6443037421108007,sectoral
best_model_fn,XLK,3,1.9933071439619976,1.518987751933317,3.898249556608708,sectoral
best_model_fn,XLK,7,2.172075855669732,1.6508293229804545,4.208890517101293,sectoral
best_model_fn,HG=F,1,1.2509869489625762,1.0365090530045562,2.7359491441012405,supply_chain_and_commodities
best_model_fn,HG=F,3,1.2220130176354105,1.0108374308911072,2.7015583668226486,supply_chain_and_commodities
best_model_fn,HG=F,7,1.2361774681795847,1.034114014695107,2.752557363172794,supply_chain_and_commodities
best_model_fn,CL=F,1,1.521458228329763,1.2626853901310142,3.334198110320114,supply_chain_and_commodities
best_model_fn,CL=F,3,1.523115052462937,1.2509181309417423,3.2937738752168766,supply_chain_and_commodities
best_model_fn,CL=F,7,1.91297241628182,1.6114949308885873,4.205658217878297,supply_chain_and_commodities
best_model_fn,DX-Y.NYB,1,1.5970483119905527,1.29726135602059,3.39175161252052,macroeconomic
best_model_fn,DX-Y.NYB,3,1.7443304561371549,1.4507221708558669,3.772652782126576,macroeconomic
best_model_fn,DX-Y.NYB,7,1.856697296437427,1.5108070067600463,3.893075534003507,macroeconomic
best_model_fn,^TNX,1,1.505270200181675,1.2613791950343285,3.313016466711803,macroeconomic
best_model_fn,^TNX,3,1.5976673704503748,1.3445405937944088,3.520934742588158,macroeconomic
best_model_fn,^TNX,7,1.9123430087809532,1.5587301280523207,4.08359268842192,macroeconomic
best_model_fn,XLY,1,1.8838476991947108,1.458696310710934,3.779164020589088,macroeconomic
best_model_fn,XLY,3,2.097972791123857,1.6357624606180707,4.22499097731164,macroeconomic
best_model_fn,XLY,7,2.308786090617545,1.751228609338212,4.4873361608171765,macroeconomic
best_model_fn,XLI,1,1.4250461713204836,1.1576464008747582,3.048169675751609,macroeconomic
best_model_fn,XLI,3,1.62230790115812,1.345523821587085,3.554243912779808,macroeconomic
best_model_fn,XLI,7,2.148323626690958,1.719898829682264,4.4862750569196335,macroeconomic
best_model_fn,IYT,1,1.5289473376988256,1.21854656596848,3.231072487178744,supply_chain_and_commodities
best_model_fn,IYT,3,1.6345476116717257,1.3318975396243786,3.4837378765185147,supply_chain_and_commodities
best_model_fn,IYT,7,1.9409544717871137,1.5980031727968105,4.175335335071513,supply_chain_and_commodities
best_model_fn,^VIX,1,1.443090152729546,1.2155291105673618,3.196453373451555,macroeconomic
best_model_fn,^VIX,3,1.5597754220861948,1.3161414049701154,3.4569513431657533,macroeconomic
best_model_fn,^VIX,7,2.0168330970702057,1.6912808170731068,4.403334069419869,macroeconomic
